X_Interpolated	Y_Interpolated
314.22845691	2.93924306
315.43086172	2.93624434
316.63326653	2.93334736
317.83567134	2.93055213
319.03807615	2.92785864
320.24048096	2.92526688
321.44288577	2.92277687
322.64529058	2.92038860
323.84769539	2.91810207
325.05010020	2.91591729
326.25250501	2.91383424
327.45490982	2.91185293
328.65731463	2.90997337
329.85971944	2.90819554
331.06212425	2.90651946
332.26452906	2.90494512
333.46693387	2.90347252
334.66933868	2.90210166
335.87174349	2.90081485
337.07414830	2.89953933
338.27655311	2.89826726
339.47895792	2.89699863
340.68136273	2.89573344
341.88376754	2.89447169
343.08617234	2.89321338
344.28857715	2.89195851
345.49098196	2.89070708
346.69338677	2.88945909
347.89579158	2.88821455
349.09819639	2.88697344
350.30060120	2.88573577
351.50300601	2.88450155
352.70541082	2.88327077
353.90781563	2.88204342
355.11022044	2.88081952
356.31262525	2.87959906
357.51503006	2.87838203
358.71743487	2.87716845
359.91983968	2.87595831
361.12224449	2.87475161
362.32464930	2.87354835
363.52705411	2.87234853
364.72945892	2.87115216
365.93186373	2.86995922
367.13426854	2.86876972
368.33667335	2.86758366
369.53907816	2.86640105
370.74148297	2.86522187
371.94388778	2.86404614
373.14629259	2.86287385
374.34869739	2.86170499
375.55110220	2.86053958
376.75350701	2.85937761
377.95591182	2.85821908
379.15831663	2.85706399
380.36072144	2.85591234
381.56312625	2.85476413
382.76553106	2.85361936
383.96793587	2.85247803
385.17034068	2.85134014
386.37274549	2.85020570
387.57515030	2.84907469
388.77755511	2.84794713
389.97995992	2.84682300
391.18236473	2.84570232
392.38476954	2.84458507
393.58717435	2.84347127
394.78957916	2.84236091
395.99198397	2.84125399
397.19438878	2.84015051
398.39679359	2.83905047
399.59919840	2.83795387
400.80160321	2.83686071
402.00400802	2.83577099
403.20641283	2.83468471
404.40881764	2.83360187
405.61122244	2.83252248
406.81362725	2.83144652
408.01603206	2.83037400
409.21843687	2.82930493
410.42084168	2.82823930
411.62324649	2.82717710
412.82565130	2.82611835
414.02805611	2.82506304
415.23046092	2.82401117
416.43286573	2.82296274
417.63527054	2.82191774
418.83767535	2.82087620
420.04008016	2.81983809
421.24248497	2.81880342
422.44488978	2.81777219
423.64729459	2.81674440
424.84969940	2.81572006
426.05210421	2.81469915
427.25450902	2.81368169
428.45691383	2.81266766
429.65931864	2.81165708
430.86172345	2.81064993
432.06412826	2.80964623
433.26653307	2.80864597
434.46893788	2.80764915
435.67134269	2.80665577
436.87374749	2.80566583
438.07615230	2.80467933
439.27855711	2.80369627
440.48096192	2.80271665
441.68336673	2.80174047
442.88577154	2.80076774
444.08817635	2.79979844
445.29058116	2.79883258
446.49298597	2.79787017
447.69539078	2.79691119
448.89779559	2.79595566
450.10020040	2.79500357
451.30260521	2.79405491
452.50501002	2.79310970
453.70741483	2.79216793
454.90981964	2.79122960
456.11222445	2.79029471
457.31462926	2.78936326
458.51703407	2.78843525
459.71943888	2.78751068
460.92184369	2.78658956
462.12424850	2.78567187
463.32665331	2.78475762
464.52905812	2.78384682
465.73146293	2.78293945
466.93386774	2.78203553
468.13627255	2.78113504
469.33867735	2.78023800
470.54108216	2.77934440
471.74348697	2.77845424
472.94589178	2.77756752
474.14829659	2.77668424
475.35070140	2.77580440
476.55310621	2.77492800
477.75551102	2.77405504
478.95791583	2.77318552
480.16032064	2.77231944
481.36272545	2.77145681
482.56513026	2.77059761
483.76753507	2.76974185
484.96993988	2.76888954
486.17234469	2.76804067
487.37474950	2.76719523
488.57715431	2.76635324
489.77955912	2.76551469
490.98196393	2.76467958
492.18436874	2.76384790
493.38677355	2.76301967
494.58917836	2.76219488
495.79158317	2.76137353
496.99398798	2.76055563
498.19639279	2.75974116
499.39879760	2.75893013
500.60120240	2.75812254
501.80360721	2.75731840
503.00601202	2.75651769
504.20841683	2.75572043
505.41082164	2.75492660
506.61322645	2.75413622
507.81563126	2.75334928
509.01803607	2.75256578
510.22044088	2.75178571
511.42284569	2.75100909
512.62525050	2.75023591
513.82765531	2.74946617
515.03006012	2.74869987
516.23246493	2.74793702
517.43486974	2.74717760
518.63727455	2.74642162
519.83967936	2.74566909
521.04208417	2.74491999
522.24448898	2.74417433
523.44689379	2.74343212
524.64929860	2.74269335
525.85170341	2.74195801
527.05410822	2.74122612
528.25651303	2.74049767
529.45891784	2.73977266
530.66132265	2.73905109
531.86372745	2.73833296
533.06613226	2.73761827
534.26853707	2.73690702
535.47094188	2.73619921
536.67334669	2.73549484
537.87575150	2.73479391
539.07815631	2.73409643
540.28056112	2.73340238
541.48296593	2.73271178
542.68537074	2.73202461
543.88777555	2.73134089
545.09018036	2.73066061
546.29258517	2.72998376
547.49498998	2.72931036
548.69739479	2.72864040
549.89979960	2.72797388
551.10220441	2.72731080
552.30460922	2.72665116
553.50701403	2.72599496
554.70941884	2.72534220
555.91182365	2.72469289
557.11422846	2.72404701
558.31663327	2.72340457
559.51903808	2.72276558
560.72144289	2.72213002
561.92384770	2.72149791
563.12625251	2.72086923
564.32865731	2.72024400
565.53106212	2.71962221
566.73346693	2.71900386
567.93587174	2.71838895
569.13827655	2.71777747
570.34068136	2.71716944
571.54308617	2.71656486
572.74549098	2.71596371
573.94789579	2.71536600
575.15030060	2.71477173
576.35270541	2.71418090
577.55511022	2.71359352
578.75751503	2.71300957
579.95991984	2.71242907
