Energy	Refractive_Index_101063_1369524
854.384353	2.664128826716146
653.748738	2.7007205526010494
554.535580	2.72515760979469
448.232239	2.785930953251001
381.035523	2.834613487921608
335.150241	2.907349920352506
310.243369	2.9558408753064382
291.657103	3.0283857280206616
283.174791	3.0646581543777733
275.174521	3.0888823452195537
267.088205	3.125154771576665
258.358250	3.1735180067194806
250.636228	3.2459564262577736
241.968778	3.3304856545817705
237.342997	3.390811978699173
232.449839	3.463207824967094
225.776689	3.5597427155360504
223.472750	3.6320959885335986
221.383237	3.7285457325618108
220.197207	3.812904667804318
217.745008	3.8732097052865355
212.362302	3.8372140051868424
206.380897	3.825336062753000
201.205921	3.8495815402299662
