Eje_X_Distancia Banda_1 Banda_2 Banda_3
6.59968721e+00 -5.66655019e-01 2.16552154e+00 3.48672176e+00
6.62403351e+00 -5.66412427e-01 2.16782469e+00 3.48633115e+00
6.64837981e+00 -5.66145093e-01 2.17029329e+00 3.48590516e+00
6.67272611e+00 -5.65851614e-01 2.17292624e+00 3.48544247e+00
6.69707241e+00 -5.65530508e-01 2.17572236e+00 3.48494167e+00
6.72141871e+00 -5.65180216e-01 2.17868042e+00 3.48440127e+00
6.74576501e+00 -5.64799105e-01 2.18179910e+00 3.48381973e+00
6.77011131e+00 -5.64385473e-01 2.18507702e+00 3.48319543e+00
6.79445761e+00 -5.63937551e-01 2.18851272e+00 3.48252671e+00
6.81880391e+00 -5.63453506e-01 2.19210466e+00 3.48181182e+00
6.84315021e+00 -5.62931450e-01 2.19585126e+00 3.48104898e+00
6.86749651e+00 -5.62369437e-01 2.19975085e+00 3.48023635e+00
6.89184281e+00 -5.61765471e-01 2.20380169e+00 3.47937205e+00
6.91618911e+00 -5.61117511e-01 2.20800198e+00 3.47845414e+00
6.94053541e+00 -5.60423473e-01 2.21234986e+00 3.47748068e+00
6.96488171e+00 -5.59681238e-01 2.21684340e+00 3.47644966e+00
6.98922801e+00 -5.58888650e-01 2.22148059e+00 3.47535905e+00
7.01357431e+00 -5.58043527e-01 2.22625937e+00 3.47420681e+00
7.03792061e+00 -5.57143664e-01 2.23117763e+00 3.47299086e+00
7.06226691e+00 -5.56186837e-01 2.23623317e+00 3.47170913e+00
7.08661321e+00 -5.55170805e-01 2.24142374e+00 3.47035951e+00
7.11095951e+00 -5.54093321e-01 2.24674705e+00 3.46893991e+00
7.13530581e+00 -5.52952132e-01 2.25220072e+00 3.46744823e+00
7.15965211e+00 -5.51744986e-01 2.25778233e+00 3.46588237e+00
7.18399841e+00 -5.50469634e-01 2.26348939e+00 3.46424024e+00
7.20834471e+00 -5.49123840e-01 2.26931937e+00 3.46251977e+00
7.23269101e+00 -5.47705382e-01 2.27526969e+00 3.46071890e+00
7.25703731e+00 -5.46212057e-01 2.28133768e+00 3.45883560e+00
7.28138362e+00 -5.44641687e-01 2.28752066e+00 3.45686787e+00
7.30572992e+00 -5.42992125e-01 2.29381588e+00 3.45481373e+00
7.33007622e+00 -5.41261256e-01 2.30022054e+00 3.45267125e+00
7.35442252e+00 -5.39447006e-01 2.30673179e+00 3.45043854e+00
7.37876882e+00 -5.37547345e-01 2.31334673e+00 3.44811375e+00
7.40311512e+00 -5.35560291e-01 2.32006244e+00 3.44569510e+00
7.42746142e+00 -5.33483916e-01 2.32687591e+00 3.44318084e+00
7.45180772e+00 -5.31316350e-01 2.33378413e+00 3.44056930e+00
7.47615402e+00 -5.29055786e-01 2.34078401e+00 3.43785887e+00
7.50050032e+00 -5.26700484e-01 2.34787246e+00 3.43504801e+00
7.52484662e+00 -5.24248775e-01 2.35504632e+00 3.43213526e+00
7.54919292e+00 -5.21699069e-01 2.36230239e+00 3.42911922e+00
7.57353922e+00 -5.19049852e-01 2.36963746e+00 3.42599860e+00
7.59788552e+00 -5.16299700e-01 2.37704826e+00 3.42277218e+00
7.62223182e+00 -5.13447274e-01 2.38453150e+00 3.41943882e+00
7.64657812e+00 -5.10491330e-01 2.39208385e+00 3.41599751e+00
7.67092442e+00 -5.07430721e-01 2.39970196e+00 3.41244730e+00
7.69527072e+00 -5.04264402e-01 2.40738244e+00 3.40878738e+00
7.71961702e+00 -5.00991433e-01 2.41512186e+00 3.40501702e+00
7.74396332e+00 -4.97610981e-01 2.42291681e+00 3.40113561e+00
7.76830962e+00 -4.94122328e-01 2.43076380e+00 3.39714265e+00
7.79265592e+00 -4.90524872e-01 2.43865935e+00 3.39303777e+00
7.81700222e+00 -4.86818131e-01 2.44659995e+00 3.38882071e+00
7.84134852e+00 -4.83001745e-01 2.45458207e+00 3.38449133e+00
7.86569482e+00 -4.79075482e-01 2.46260216e+00 3.38004964e+00
7.89004112e+00 -4.75039240e-01 2.47065666e+00 3.37549575e+00
7.91438742e+00 -4.70893051e-01 2.47874198e+00 3.37082994e+00
7.93873372e+00 -4.66637080e-01 2.48685454e+00 3.36605260e+00
7.96308002e+00 -4.62271635e-01 2.49499072e+00 3.36116426e+00
7.98742632e+00 -4.57797164e-01 2.50314691e+00 3.35616561e+00
8.01177262e+00 -4.53214260e-01 2.51131948e+00 3.35105748e+00
